Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2021,OREGON,"COD, PACIFIC",15,0,,Public,Recreational,,164711,MRIP
2021,OREGON,"POLLOCK, WALLEYE ",220,0,,Public,Commercial,Gadus chalcogrammus,934083,PACFIN
2021,CONNECTICUT,"CRAB, BLUE",803,0,1024,Public,Commercial,Callinectes sapidus,98696,ACCSP
2021,OREGON,"COD, PACIFIC",2205,1,781,Public,Commercial,Gadus macrocephalus,164711,PACFIN
2021,OREGON,"SALMON, SOCKEYE",2866,1,8557,Public,Commercial,Oncorhynchus nerka,161979,PACFIN
2021,VIRGINIA,"LOBSTER, AMERICAN",3099,1,20650,Public,Commercial,Homarus americanus,97314,ACCSP
2021,WASHINGTON,"COD, PACIFIC",3305,1,,Public,Recreational,,164711,MRIP
2021,CALIFORNIA,"HALIBUT, PACIFIC",3748,2,24106,Public,Commercial,Hippoglossus stenolepis,172932,PACFIN
2021,DELAWARE,"LOBSTER, AMERICAN",6193,3,49129,Public,Commercial,Homarus americanus,97314,ACCSP
2021,NEW HAMPSHIRE,"SCALLOP, SEA",11345,5,192139,Public,Commercial,Placopecten magellanicus,79718,ACCSP
2021,MARYLAND,"LOBSTER, AMERICAN",12827,6,110929,Public,Commercial,Homarus americanus,97314,ACCSP
2021,NORTH CAROLINA,"SCALLOP, SEA",22980,10,373885,Public,Commercial,Placopecten magellanicus,79718,ACCSP
2021,TEXAS,MENHADENS **,29813,14,69488,Public,Commercial,Brevoortia ,161731,GULFFIN
2021,FLORIDA-EAST,"OYSTER, EASTERN",35207,16,213712,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,WASHINGTON,"SALMON, SOCKEYE",50045,23,124873,Public,Commercial,Oncorhynchus nerka,161979,PACFIN
2021,NEW YORK,"SCALLOP, SEA",64704,29,823018,Public,Commercial,Placopecten magellanicus,79718,ACCSP
2021,MARYLAND,"SCALLOP, SEA",69968,32,1052176,Public,Commercial,Placopecten magellanicus,79718,ACCSP
2021,WASHINGTON,"COD, PACIFIC",76941,35,41908,Public,Commercial,Gadus macrocephalus,164711,PACFIN
2021,NEW YORK,"LOBSTER, AMERICAN",109117,49,885893,Public,Commercial,Homarus americanus,97314,ACCSP
2021,DELAWARE,"OYSTER, EASTERN",125440,57,738445,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,RHODE ISLAND,"OYSTER, EASTERN",135402,61,5834896,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,CONNECTICUT,"LOBSTER, AMERICAN",148758,67,1100438,Public,Commercial,Homarus americanus,97314,ACCSP
2021,CONNECTICUT,MENHADENS **,179177,81,127804,Public,Commercial,Brevoortia ,161731,ACCSP
2021,MAINE,"OYSTER, EASTERN",209493,95,9436204,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,OREGON,"HALIBUT, PACIFIC",254634,116,1579090,Public,Commercial,Hippoglossus stenolepis,172932,PACFIN
2021,SOUTH CAROLINA,"OYSTER, EASTERN",275961,125,3328434,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,FLORIDA-WEST,"OYSTER, EASTERN",290329,132,1599885,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,NEW JERSEY,"LOBSTER, AMERICAN",290982,132,2299760,Public,Commercial,Homarus americanus,97314,ACCSP
2021,NEW YORK,"CRAB, BLUE",328349,149,552788,Public,Commercial,Callinectes sapidus,98696,ACCSP
2021,NORTH CAROLINA,"OYSTER, EASTERN",336634,153,6935619,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,NEW YORK,"OYSTER, EASTERN",339001,154,1784218,Public,Commercial,Crassostrea virginica,79872,ACCSP
2021,GEORGIA,"SHRIMP, NORTHERN BROWN",343275,156,1166865,Public,Commercial,Farfantepenaeus aztecus,551570,ACCSP
