,Year,Pounds,Metric Tons,Dollars,Collection
0,1950,4910008722.0,2227165.0,326140141.0,Commercial
1,1951,4468280396.0,2026799.0,343768689.0,Commercial
2,1952,4454820075.0,2020693.0,342260948.0,Commercial
3,1953,4541451462.0,2059989.0,336674622.0,Commercial
4,1954,4783727020.0,2169884.0,341197698.0,Commercial
5,1955,4864502898.0,2206524.0,321979001.0,Commercial
6,1956,5315091181.0,2410910.0,354343664.0,Commercial
7,1957,4812006928.0,2182712.0,337536928.0,Commercial
8,1958,4814125255.0,2183673.0,358009337.0,Commercial
9,1959,5136276317.0,2329800.0,330671208.0,Commercial
10,1960,5014090964.0,2274377.0,339456549.0,Commercial
11,1961,5281445600.0,2395648.0,349224928.0,Commercial
12,1962,5483719015.0,2487399.0,388099068.0,Commercial
13,1963,4940953280.0,2241202.0,367716687.0,Commercial
14,1964,4658198362.0,2112945.0,382500781.0,Commercial
15,1965,4883101538.0,2214960.0,432160336.0,Commercial
16,1966,4406698497.0,1998865.0,455917488.0,Commercial
17,1967,4134834274.0,1875549.0,424512869.0,Commercial
18,1968,4374304496.0,1984172.0,483437951.0,Commercial
19,1969,4451508990.0,2019191.0,512281335.0,Commercial
20,1970,4937890925.0,2239813.0,594939566.0,Commercial
21,1971,5239028743.0,2376408.0,638599927.0,Commercial
22,1972,5046139575.0,2288914.0,736701376.0,Commercial
23,1973,5068076518.0,2298864.0,923159153.0,Commercial
24,1974,5220268416.0,2367898.0,915840018.0,Commercial
25,1975,5139249833.0,2331148.0,960578853.0,Commercial
26,1976,5652017430.0,2563738.0,1333494123.0,Commercial
27,1977,5444160250.0,2469455.0,1530942799.0,Commercial
28,1978,6227954386.0,2824982.0,1892389688.0,Commercial
29,1979,6524161425.0,2959340.0,2288559781.0,Commercial
30,1980,6607280652.0,2997043.0,2247500796.0,Commercial
31,1981,6069765027.0,2753227.0,2398248753.0,Commercial
32,1982,6486409525.0,2942216.0,2389066442.0,Commercial
33,1983,6456137641.0,2928485.0,2337794210.0,Commercial
34,1984,6463104776.0,2931645.0,2355765438.0,Commercial
35,1985,6381609435.0,2894679.0,2360023548.0,Commercial
36,1986,6130893979.0,2780955.0,2839063900.0,Commercial
37,1987,7012494243.0,3180847.0,3236788425.0,Commercial
38,1988,7384392007.0,3349538.0,3589051075.0,Commercial
39,1989,8749807742.0,3968887.0,3417515860.0,Commercial
40,1990,9804661004.0,4447365.0,3657082478.0,Commercial
41,1991,9629615740.0,4367965.0,3413675580.0,Commercial
42,1992,9946918578.0,4511893.0,3775384293.0,Commercial
43,1993,9965483814.0,4520314.0,3342486178.0,Commercial
44,1994,10086779651.0,4575333.0,3696414630.0,Commercial
45,1995,9658598742.0,4381112.0,3802078658.0,Commercial
46,1996,9368642622.0,4249588.0,3539799079.0,Commercial
47,1997,9611476705.0,4359737.0,3569585035.0,Commercial
48,1998,8986300614.0,4076159.0,3203965719.0,Commercial
49,1999,9085269086.0,4121051.0,3568027747.0,Commercial
50,2000,8852853217.0,4015628.0,3655777874.0,Commercial
51,2001,9268186606.0,4204022.0,3220695014.0,Commercial
52,2002,9225971729.0,4184873.0,3091217994.0,Commercial
53,2003,9308852097.0,4222468.0,3318154663.0,Commercial
54,2004,9618098659.0,4362741.0,3754068104.0,Commercial
55,2005,9596427485.0,4352911.0,3988803639.0,Commercial
56,2006,9629679655.0,4367994.0,4223172365.0,Commercial
57,2007,9367794720.0,4249204.0,4306726553.0,Commercial
58,2008,8419002455.0,3818834.0,4543059134.0,Commercial
59,2009,8115199019.0,3681030.0,3958647759.0,Commercial
60,2010,8313114120.0,3770804.0,4664312049.0,Commercial
61,2011,9917400877.0,4498504.0,5541186886.0,Commercial
62,2012,9727779296.0,4412492.0,5571283505.0,Commercial
63,2013,9795200901.0,4443074.0,5563818837.0,Commercial
64,2014,9561703450.0,4337160.0,5610579200.0,Commercial
65,2015,9757835061.0,4426125.0,5399804511.0,Commercial
66,2016,9658130480.0,4380899.0,5520038291.0,Commercial
67,2017,9958911811.0,4517333.0,5832311126.0,Commercial
68,2018,9425679701.0,4275460.0,5692645335.0,Commercial
69,2019,9370777797.0,4250557.0,5615293120.0,Commercial
70,2020,8401030545.0,3810682.0,4931423028.0,Commercial
71,2021,8573589616.0,3888955.0,6479999828.0,Commercial
