DATE,Index (2014 Reference),Employment #
1/1/1987,57.64533,41923.1427
1/1/1988,58.00691,42186.10537
1/1/1989,57.49869,41816.49729
1/1/1990,56.79262,41303.00082
1/1/1991,57.83817,42063.38751
1/1/1992,57.97778,42164.92028
1/1/1993,58.76019,42733.93578
1/1/1994,60.35515,43893.88639
1/1/1995,64.71817,47066.93631
1/1/1996,63.8303,46421.22398
1/1/1997,66.07308,48052.30816
1/1/1998,72.51517,52737.38253
1/1/1999,82.54289,60030.14218
1/1/2000,90.29268,65666.25446
1/1/2001,96.20947,69969.29915
1/1/2002,102.83235,74785.85486
1/1/2003,101.12691,73545.55657
1/1/2004,96.31493,70045.99599
1/1/2005,92.93319,67586.59176
1/1/2006,87.14495,63377.03634
1/1/2007,99.08903,72063.48796
1/1/2008,98.4643,71609.14682
1/1/2009,110.49476,80358.41916
1/1/2010,126.25246,91818.36406
1/1/2011,113.98196,82894.52023
1/1/2012,100.43791,73044.47443
1/1/2013,96.69961,70325.75837
1/1/2014,100,72726
1/1/2015,89.0372,64753.19407
1/1/2016,88.42453,64307.62369
1/1/2017,96.57105,70232.26182
1/1/2018,91.4899,66536.94467
1/1/2019,84.70331,61601.32923
1/1/2020,86.22193,62705.76081
1/1/2021,84.8851,61733.53783
1/1/2022,86.65984,63024.23524
