Code,Year,Fish Consumption
USA,1961,13760.74
USA,1962,14116.647
USA,1963,13753.342999999999
USA,1964,13410.462000000001
USA,1965,13526.203000000001
USA,1966,13969.0895
USA,1967,13320.064999999999
USA,1968,14852.797
USA,1969,13959.552
USA,1970,15192.157
USA,1971,14664.47
USA,1972,16614.815
USA,1973,15980.325
USA,1974,15358.34
USA,1975,14665.65
USA,1976,16179.398
USA,1977,15992.288
USA,1978,16753.146999999997
USA,1979,16460.064
USA,1980,16030.003
USA,1981,17737.926000000003
USA,1982,16967.283
USA,1983,17956.710000000003
USA,1984,19710.659
USA,1985,19594.719
USA,1986,19401.25
USA,1987,21714.02
USA,1988,20646.446
USA,1989,23089.434
USA,1990,22487.542999999998
USA,1991,21450.317
USA,1992,22314.73
USA,1993,23159.949999999997
USA,1994,22679.26
USA,1995,22156.689
USA,1996,21175.478
USA,1997,21130.096
USA,1998,21894.73
USA,1999,21773.108
USA,2000,22211.345999999998
USA,2001,21645.264
USA,2002,22810.863
USA,2003,24105.942
USA,2004,24980.115999999998
USA,2005,23413.917999999998
USA,2006,24286.025999999998
USA,2007,22597.631
USA,2008,21647.917
USA,2009,21478.006
USA,2010,21463.145999999997
USA,2011,21510.725000000002
USA,2012,21046.587
USA,2013,21064.482
USA,2014,21621.960000000003
USA,2015,21717.562
USA,2016,21688.387
USA,2017,22080.343
USA,2018,22443.901
USA,2019,22569.592
USA,2020,22454.920000000002
