Entity,Code,Year,Fisheries (number employed),Aquaculture (number employed)
Africa,,1995,2743000,69000
Africa,,2000,3247000,100000
Africa,,2005,3736000,189000
Africa,,2010,4228000,255000
Africa,,2015,4712000,355000
Africa,,2018,5021000,386000
Americas,,1995,1793000,279000
Americas,,2000,1982000,257000
Americas,,2005,2013000,241000
Americas,,2010,2562000,336000
Americas,,2015,2816000,377000
Americas,,2018,2455000,388000
Asia,,1995,24205000,7426000
Asia,,2000,28079000,12355000
Asia,,2005,29890000,14826000
Asia,,2010,31517000,17910000
Asia,,2015,30436000,19533000
Asia,,2018,30768000,19617000
Europe,,1995,378000,98000
Europe,,2000,679000,104000
Europe,,2005,558000,100000
Europe,,2010,530000,118000
Europe,,2015,338000,115000
Europe,,2018,272000,129000
Oceania,,1995,460000,6000
Oceania,,2000,451000,8000
Oceania,,2005,458000,8000
Oceania,,2010,467000,6000
Oceania,,2015,469000,10000
Oceania,,2018,460000,12000
World,OWID_WRL,1995,29579000,7878000
World,OWID_WRL,2000,34438000,12824000
World,OWID_WRL,2005,36655000,15364000
World,OWID_WRL,2010,39304000,18625000
World,OWID_WRL,2015,38771000,20390000
World,OWID_WRL,2018,38976000,20532000
