Entity,Code,Year,discards
Albania,ALB,1950,155.82409375299997
Albania,ALB,1951,171.406503113
Albania,ALB,1952,218.153731178
Albania,ALB,1953,264.900959341
Albania,ALB,1954,249.318549877
Albania,ALB,1955,264.900959341
Albania,ALB,1956,264.900959341
Albania,ALB,1957,280.483368696
Albania,ALB,1958,264.900959341
Albania,ALB,1959,280.483368696
Albania,ALB,1960,264.900959341
Albania,ALB,1961,327.23059686
Albania,ALB,1962,280.483368696
Albania,ALB,1963,311.648187406
Albania,ALB,1964,311.648187406
Albania,ALB,1965,405.142643634
Albania,ALB,1966,405.142643634
Albania,ALB,1967,1127.686645818
Albania,ALB,1968,1366.89290421
Albania,ALB,1969,1571.926839539
Albania,ALB,1970,1811.1330979319998
Albania,ALB,1971,1811.1330979319998
Albania,ALB,1972,1811.1330979319998
Albania,ALB,1973,1811.1330979319998
Albania,ALB,1974,1879.477743043
Albania,ALB,1975,1879.477743043
Albania,ALB,1976,1878.7942964909998
Albania,ALB,1977,1876.060510335
Albania,ALB,1978,2046.92212361
Albania,ALB,1979,2033.2531947900002
Albania,ALB,1980,2016.167033251
Albania,ALB,1981,2099.2057775040003
Albania,ALB,1982,1836.942174557
Albania,ALB,1983,1976.366545765
Albania,ALB,1984,1458.061290497
Albania,ALB,1985,2458.537095383
Albania,ALB,1986,2325.146179334
Albania,ALB,1987,2652.032844827
Albania,ALB,1988,2625.653642921
Albania,ALB,1989,2289.41511054
Albania,ALB,1990,2441.5630867960003
Albania,ALB,1991,667.1807635709999
Albania,ALB,1992,414.600404923
Albania,ALB,1993,438.71768737299993
Albania,ALB,1994,408.313407792
Albania,ALB,1995,290.510692783
Albania,ALB,1996,505.82545890600005
Albania,ALB,1997,217.0837406
Albania,ALB,1998,531.1727110720001
Albania,ALB,1999,553.0330058180001
Albania,ALB,2000,722.1454843020001
Albania,ALB,2001,515.975005213
Albania,ALB,2002,719.089202954
Albania,ALB,2003,342.217118281
Albania,ALB,2004,792.7301739750001
Albania,ALB,2005,868.3803692919998
Albania,ALB,2006,1010.913209691
Albania,ALB,2007,898.8258489619999
Albania,ALB,2008,1045.094323187
Albania,ALB,2009,1145.445973384
Albania,ALB,2010,959.313259271
Albania,ALB,2011,933.2863207090002
Albania,ALB,2012,2203.315052958
Albania,ALB,2013,2294.4354110679997
Albania,ALB,2014,1870.7662296039998
Albania,ALB,2015,1773.29275121
Albania,ALB,2016,1654.5620960130002
Albania,ALB,2017,1649.340306133
Albania,ALB,2018,1921.5577965200002
Algeria,DZA,1950,4611.722310199999
Algeria,DZA,1951,4295.8509198
Algeria,DZA,1952,4264.2637798
Algeria,DZA,1953,4359.0251979
Algeria,DZA,1954,4327.438058899999
Algeria,DZA,1955,4611.722310199999
