,Entity,Code,Year,kg_per_yr_per_capita,Production_in_tons,Population (historical estimates),Life_Expectancy_years,continent,fish_and_seafood_kg_protein_per_capita,perc. total protein from fish,perc. animal protein from fish,percent_pop_10km_from_coast
0,Afghanistan,AFG,1990,0.13162653,1400.0,10694804,50.33,Asia,0.016014561,0.06189076,0.260416665,0.0
1,Afghanistan,AFG,2000,0.063229844,1300.0,19542986,55.84,Asia,0.007692964,0.038880245,0.146305767,0.0
2,Afghanistan,AFG,2010,0.11388781,3250.0,28189672,61.03,Asia,0.011337014,0.051369866,0.27322404,0.0
3,Albania,ALB,1990,2.290975,15020.0,3295073,71.84,Europe,0.206187752,0.70413352,2.350892439,17.0
4,Albania,ALB,2000,3.4067593,3630.0,3182027,73.96,Europe,0.341195248,1.016374955,2.428494426,17.0
5,Albania,ALB,2010,6.182559,7650.0,2913402,76.56,Europe,0.65741548,1.725307728,3.427031257,17.0
6,Algeria,DZA,1990,3.6093006,90600.0,25518074,66.94,Africa,0.43162502,1.574910859,6.294471272,15.0
7,Algeria,DZA,2000,3.9578373,113510.0,30774624,70.64,Africa,0.470250889,1.659806199,6.898454944,16.0
8,Algeria,DZA,2010,3.9331903,95220.0,35856348,74.94,Africa,0.443136098,1.395778028,5.16431914,16.0
9,Angola,AGO,1990,16.957392,133090.0,11828643,45.31,Africa,1.916464985,15.89947177,40.55330706,17.0
10,Angola,AGO,2000,10.243675,239360.0,16394067,46.52,Africa,1.09439994,9.090909008,31.01933162,19.0
11,Angola,AGO,2010,15.734478,310310.0,23364196,55.35,Africa,1.54340834,9.120310784,31.08008732,19.0
12,Antigua and Barbuda,ATG,1990,30.7328,890.0,63346,71.52,North America,3.51171172,12.08507463,18.07649751,100.0
13,Antigua and Barbuda,ATG,2000,46.226456,1750.0,75070,73.94,North America,4.18308396,15.72345016,23.45311615,100.0
14,Antigua and Barbuda,ATG,2010,55.165558,2220.0,85710,75.82,North America,4.95047456,17.37243445,25.17629059,100.0
15,Argentina,ARG,1990,5.9676843,558670.0,32637658,71.59,South America,0.53634195,1.662143946,2.658708872,19.0
16,Argentina,ARG,2000,8.511305,923580.0,37070772,73.58,South America,0.810266347,2.193155169,3.450944315,17.0
17,Argentina,ARG,2010,5.7512937,814400.0,41100124,75.28,South America,0.668264521,1.877551126,3.123939112,17.0
