Entity,Code,Year,Marine protected areas (% of territorial waters)
Albania,ALB,2016,2.714431047439575
Albania,ALB,2017,2.7180330753326416
Albania,ALB,2018,2.7180330753326416
Albania,ALB,2019,2.8392789363861084
Albania,ALB,2020,2.8392789363861084
Albania,ALB,2021,2.8392791748046875
Algeria,DZA,2016,0.08527594804763794
Algeria,DZA,2017,0.08548310399055481
Algeria,DZA,2018,0.08548310399055481
Algeria,DZA,2019,0.08548299968242645
Algeria,DZA,2020,0.06802300363779068
Algeria,DZA,2021,0.06802259385585785
American Samoa,ASM,2016,8.710817337036133
American Samoa,ASM,2017,8.715875625610352
American Samoa,ASM,2018,8.715875625610352
American Samoa,ASM,2019,8.715875625610352
American Samoa,ASM,2020,0.002208000048995018
American Samoa,ASM,2021,8.723742485046387
Angola,AGO,2016,0.004860726185142994
Angola,AGO,2017,0.004929827060550451
Angola,AGO,2018,0.004929827060550451
Angola,AGO,2019,0.0049299998208880424
Angola,AGO,2020,0.0049299998208880424
Angola,AGO,2021,0.0049298228695988655
Antigua and Barbuda,ATG,2016,0.19171850383281708
Antigua and Barbuda,ATG,2017,0.18150447309017181
Antigua and Barbuda,ATG,2018,0.18150447309017181
Antigua and Barbuda,ATG,2019,0.1815039962530136
Antigua and Barbuda,ATG,2020,0.2995089888572693
Antigua and Barbuda,ATG,2021,0.2999420762062073
Argentina,ARG,2016,4.019939422607422
Argentina,ARG,2017,3.796992540359497
Argentina,ARG,2018,3.796992540359497
Argentina,ARG,2019,11.767669677734375
Argentina,ARG,2020,11.76653003692627
Argentina,ARG,2021,11.766525268554688
Aruba,ABW,2017,0.00010515668691368774
Aruba,ABW,2018,0.00010515668691368774
Aruba,ABW,2019,0.0001049999991664663
Aruba,ABW,2020,0.0001049999991664663
Aruba,ABW,2021,0.00010515699977986515
Australia,AUS,2016,40.6534423828125
Australia,AUS,2017,40.559410095214844
Australia,AUS,2018,40.559410095214844
Australia,AUS,2019,40.559410095214844
Australia,AUS,2020,40.844661712646484
Australia,AUS,2021,44.33663558959961
Azerbaijan,AZE,2016,0.4365314841270447
Azerbaijan,AZE,2017,0.43692952394485474
Azerbaijan,AZE,2018,0.43692952394485474
Azerbaijan,AZE,2019,0.43692898750305176
Azerbaijan,AZE,2020,0.43692898750305176
Azerbaijan,AZE,2021,0.4369288682937622
Bahamas,BHS,2016,0.5656635761260986
Bahamas,BHS,2017,7.922886371612549
Bahamas,BHS,2018,7.922886371612549
Bahamas,BHS,2019,7.922883987426758
Bahamas,BHS,2020,7.922883987426758
Bahamas,BHS,2021,7.922884464263916
Bahrain,BHR,2016,1.2446284294128418
Bahrain,BHR,2017,1.242239236831665
Bahrain,BHR,2018,1.242239236831665
Bahrain,BHR,2019,1.242277979850769
Bahrain,BHR,2020,1.242277979850769
Bahrain,BHR,2021,1.24227774143219
Bangladesh,BGD,2016,5.356940269470215
Bangladesh,BGD,2017,5.357190132141113
Bangladesh,BGD,2018,5.357190132141113
Bangladesh,BGD,2019,5.356943130493164
Bangladesh,BGD,2020,5.356943130493164
Bangladesh,BGD,2021,5.356942653656006
Barbados,BRB,2016,0.005945309996604919
Barbados,BRB,2017,0.005846512038260698
Barbados,BRB,2018,0.005846512038260698
Barbados,BRB,2019,0.005578000098466873
Barbados,BRB,2020,0.005578000098466873
Barbados,BRB,2021,0.005578455049544573
Belgium,BEL,2016,36.651180267333984
Belgium,BEL,2017,36.655242919921875
Belgium,BEL,2018,36.655242919921875
Belgium,BEL,2019,36.653419494628906
Belgium,BEL,2020,36.653419494628906
Belgium,BEL,2021,36.65341567993164
Belize,BLZ,2016,10.080055236816406
Belize,BLZ,2017,10.078875541687012
Belize,BLZ,2018,10.078875541687012
Belize,BLZ,2019,10.078920364379883
Belize,BLZ,2020,11.019180297851562
Belize,BLZ,2021,11.019183158874512
Benin,BEN,2017,0
Benin,BEN,2018,0
Bermuda,BMU,2016,0.03299060836434364
Bermuda,BMU,2017,0.00005642069663736038
Bermuda,BMU,2018,0.00005642069663736038
Bermuda,BMU,2019,0.000056000000768108293
