Code,Entity,Urban_Rural,POPULATION1990PCT,POPULATION2000PCT,POPULATION2010PCT
ABW,Aruba,RURAL,5,5,5
ABW,Aruba,URBAN,95,95,95
AFG,Afghanistan,RURAL,0,0,0
AFG,Afghanistan,URBAN,0,0,0
AGO,Angola,RURAL,1,1,1
AGO,Angola,URBAN,16,18,18
AIA,Anguilla,RURAL,9,9,9
AIA,Anguilla,URBAN,91,91,91
ALB,Albania,RURAL,10,8,8
ALB,Albania,URBAN,7,9,9
AND,Andorra,RURAL,0,0,0
AND,Andorra,URBAN,0,0,0
ANT,Netherland Antilles,RURAL,9,10,10
ANT,Netherland Antilles,URBAN,91,90,90
ARE,United Arab Emirates,RURAL,1,1,1
ARE,United Arab Emirates,URBAN,28,28,28
ARG,Argentina,RURAL,1,1,1
ARG,Argentina,URBAN,18,16,16
ARM,Armenia,RURAL,0,0,0
ARM,Armenia,URBAN,0,0,0
ASM,American Samoa,RURAL,14,13,13
ASM,American Samoa,URBAN,86,87,87
ATG,Antigua and Barbuda,RURAL,7,7,7
ATG,Antigua and Barbuda,URBAN,93,93,93
AUS,Australia,RURAL,4,4,4
AUS,Australia,URBAN,32,32,32
AUT,Austria,RURAL,0,0,0
AUT,Austria,URBAN,0,0,0
AZE,Azerbaijan,RURAL,0,0,0
AZE,Azerbaijan,URBAN,0,0,0
BDI,Burundi,RURAL,0,0,0
BDI,Burundi,URBAN,0,0,0
BEL,Belgium,RURAL,0,0,0
BEL,Belgium,URBAN,4,4,4
BEN,Benin,RURAL,2,2,2
BEN,Benin,URBAN,16,15,16
BFA,Burkina Faso,RURAL,0,0,0
BFA,Burkina Faso,URBAN,0,0,0
BGD,Bangladesh,RURAL,7,7,7
BGD,Bangladesh,URBAN,2,2,2
BGR,Bulgaria,RURAL,0,0,0
BGR,Bulgaria,URBAN,0,0,0
BHR,Bahrain,RURAL,8,8,8
BHR,Bahrain,URBAN,92,92,92
BHS,Bahamas,RURAL,25,22,22
BHS,Bahamas,URBAN,75,78,78
BIH,Bosnia-Herzegovina,RURAL,1,1,0
BIH,Bosnia-Herzegovina,URBAN,0,0,0
BLR,Belarus,RURAL,0,0,0
BLR,Belarus,URBAN,0,0,0
BLZ,Belize,RURAL,16,17,16
BLZ,Belize,URBAN,29,26,26
BMU,Bermuda,RURAL,17,17,0
BMU,Bermuda,URBAN,83,83,0
BOL,Bolivia,RURAL,0,0,0
BOL,Bolivia,URBAN,0,0,0
BRA,Brazil,RURAL,1,1,1
BRA,Brazil,URBAN,11,11,11
BRB,Barbados,RURAL,2,2,2
BRB,Barbados,URBAN,98,98,98
BRN,Brunei Darussalam,RURAL,3,3,3
BRN,Brunei Darussalam,URBAN,63,67,67
BTN,Bhutan,RURAL,0,0,0
BTN,Bhutan,URBAN,0,0,0
BWA,Botswana,RURAL,0,0,0
BWA,Botswana,URBAN,0,0,0
CAF,Central African Republic,RURAL,0,0,0
CAF,Central African Republic,URBAN,0,0,0
CAN,Canada,RURAL,2,2,2
CAN,Canada,URBAN,9,9,9
CHE,Switzerland,RURAL,0,0,0
CHE,Switzerland,URBAN,0,0,0
CHL,Chile,RURAL,5,5,5
CHL,Chile,URBAN,12,12,12
CHN,China,RURAL,2,2,2
CHN,China,URBAN,3,4,4
CIV,Ivory Coast,RURAL,1,2,2
