,Entity,Code,Year,kg_per_yr_per_capita,Production_in_tons,Population (historical estimates),Life_Expectancy_years,continent,fish_and_seafood_kg_protein_per_capita,percent_fish_total_protein_per_capita,percent_fish_protein_all_animal,Marine protected areas (% of territorial waters)
0,Albania,ALB,2016,8.905231,12610.0,2881064,78.19,Europe,0.892125883,2.177793739,4.100151452,2.714431047439575
1,Albania,ALB,2017,8.643904,12690.0,2879361,78.33,Europe,0.932249566,2.271310375,4.232365378,2.7180330753326416
2,Albania,ALB,2018,8.657962,12690.0,2877019,78.46,Europe,0.932684938,2.306022826,4.35525193,2.7180330753326416
3,Albania,ALB,2019,8.661156,12690.0,2873883,78.57,Europe,0.93302906,2.258636022,4.254254341,2.8392789363861084
4,Albania,ALB,2020,8.683039,12690.0,2866850,78.69,Europe,0.93796897,2.323048978,4.529370151,2.8392789363861084
5,Algeria,DZA,2016,3.930517,96380.0,40339328,76.3,Africa,0.436629206,1.330947453,4.536790298,0.0852759480476379
6,Algeria,DZA,2017,3.8836884,95840.0,41136548,76.5,Africa,0.433343184,1.341976605,4.682539734,0.0854831039905548
7,Algeria,DZA,2018,4.260367,120360.0,41927008,76.69,Africa,0.485258813,1.470260591,5.548549653,0.0854831039905548
8,Algeria,DZA,2019,3.881344,104880.0,42705372,76.88,Africa,0.441565904,1.314060472,4.911993365,0.0854829996824264
9,Algeria,DZA,2020,3.8147426,104880.0,43451668,77.06,Africa,0.434658608,1.327184658,4.935173382,0.0680230036377906
10,Angola,AGO,2016,19.31061,487140.0,29154742,59.92,Africa,2.040128336,11.25273894,38.72515471,0.0048607261851429
11,Angola,AGO,2017,19.95786,508410.0,30208634,60.38,Africa,2.1219786,11.18071296,37.73222209,0.0049298270605504
12,Angola,AGO,2018,15.585515,444820.0,31273538,60.78,Africa,1.56421626,8.477878999,30.65539108,0.0049298270605504
13,Angola,AGO,2019,14.361596,411190.0,32353592,61.15,Africa,1.421798005,8.246563672,31.62939288,0.004929999820888
14,Angola,AGO,2020,13.902185,411190.0,33428490,61.49,Africa,1.378026986,8.184142804,34.04255235,0.004929999820888
15,Antigua and Barbuda,ATG,2016,56.061275,3170.0,90575,76.62,North America,5.126119495,17.89150229,28.25490726,0.191718503832817
16,Antigua and Barbuda,ATG,2017,58.08434,3180.0,91133,76.75,North America,5.57414714,18.58665374,29.23568175,0.1815044730901718
17,Antigua and Barbuda,ATG,2018,60.756844,3170.0,91644,76.88,North America,5.86523537,19.18699304,30.34019058,0.1815044730901718
18,Antigua and Barbuda,ATG,2019,57.464275,3170.0,92127,77.02,North America,5.513924695,18.1783591,28.41562663,0.1815039962530136
19,Antigua and Barbuda,ATG,2020,57.116673,3170.0,92672,77.15,North America,5.480928695,17.53022401,26.61547054,0.2995089888572693
20,Argentina,ARG,2016,6.047727,758900.0,43668236,76.22,South America,0.643679362,1.74832074,2.785646793,4.019939422607422
21,Argentina,ARG,2017,7.2705374,838630.0,44054616,76.37,South America,0.764453628,2.042602837,3.241240913,3.796992540359497
22,Argentina,ARG,2018,7.371261,838190.0,44413592,76.52,South America,0.758300932,2.00907933,3.205918351,3.796992540359497
23,Argentina,ARG,2019,6.855383,828690.0,44745516,76.67,South America,0.683086404,1.731000734,2.96542977,11.767669677734377
24,Argentina,ARG,2020,6.804048,828690.0,45036032,76.81,South America,0.677645057,1.69429438,2.927215381,11.76653003692627
25,Australia,AUS,2016,26.854483,280430.0,24195706,82.45,Oceania,2.41569994,6.363898931,9.518315301,40.6534423828125
26,Australia,AUS,2017,26.774189,272550.0,24590336,82.5,Oceania,2.371985168,6.347656188,9.631055946,40.55941009521485
27,Australia,AUS,2018,26.483599,274550.0,24979228,82.75,Oceania,2.433909535,6.471270887,9.818022,40.55941009521485
28,Australia,AUS,2019,24.231964,261000.0,25357168,82.9,Oceania,2.21660861,5.738706237,8.978692657,40.55941009521485
29,Australia,AUS,2020,23.940237,261000.0,25670052,83.2,Oceania,2.186359673,5.46988427,8.524173713,40.84466171264648
30,Azerbaijan,AZE,2016,2.137268,1360.0,9976254,72.49,Asia,0.213726809,0.671742106,1.951854372,0.4365314841270447
31,Azerbaijan,AZE,2017,3.128115,1650.0,10071569,72.69,Asia,0.32112054,0.98382158,2.829298883,0.4369295239448547
32,Azerbaijan,AZE,2018,1.9992133,2080.0,10152524,72.86,Asia,0.203890351,0.628653305,1.802086597,0.4369295239448547
33,Azerbaijan,AZE,2019,2.0227485,1680.0,10232761,73.0,Asia,0.204287784,0.603877526,1.763068371,0.4369289875030517
34,Azerbaijan,AZE,2020,2.0110862,1680.0,10284952,73.12,Asia,0.205101238,0.594741242,1.713255208,0.4369289875030517
35,Bahamas,BHS,2016,25.401354,11620.0,395986,,North America,2.438949893,8.588956886,13.55275912,0.5656635761260986
36,Bahamas,BHS,2017,23.856632,11420.0,399027,,North America,2.26077945,8.11183486,12.78403397,7.922886371612549
37,Bahamas,BHS,2018,24.250393,10920.0,401911,,North America,2.29610404,8.136645557,12.49523031,7.922886371612549
38,Bahamas,BHS,2019,23.528824,11420.0,404563,,North America,2.227825315,8.167998097,12.65216512,7.922883987426758
39,Bahamas,BHS,2020,23.421537,11420.0,406478,,North America,2.217548631,8.177083576,12.77201576,7.922883987426758
40,Bahrain,BHR,2019,18.540384,15000.0,1494195,77.29,Asia,1.69181004,4.702473749,8.986371078,1.242277979850769
